Company Name ,Ticker Symbol ,Disclosure Score,Performance Band,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
NIKE Inc.,NKE US,70,D,,
Time Warner Inc.,TWX US,,,23777,194010
Yahoo! Inc.,YHOO US,91,B,4002.04,333290.8
Celgene Corporation,CELG US,80,C,14458,18420
Reynolds American Inc.,RAI US,70,B,107093,167402
"Wal-Mart Stores, Inc.",WMT US,94,A-,5605099,15581135
Hess Corporation,HES US,97,B,7409486,584695
Charles Schwab Corporation,SCHW US,55,E,,
"Amgen, Inc.",AMGN US,76,B,119968,286679
Kellogg Company,K US,84,B,536069,671729
E.I. du Pont de Nemours and Company,DD US,96,A,10817680,4416220
Procter & Gamble Company,PG US,47,,2799000,3028000
Spectra Energy Corp,SE US,98,A,8381680,608390
Cummins Inc.,CMI US,91,B,232052,409890
American Express,AXP US,87,C,23371,142667
AFLAC Incorporated,AFL US,85,B,3884,18536
Biogen Idec Inc.,BIIB US,92,B,46588,39307
"Merck & Co., Inc.",MRK US,87,B,1053000,927000
Citigroup Inc.,C US,95,B,35569.83,993687.28
International Business Machines (IBM),IBM US,86,B,541584,2208459
"PPG Industries, Inc.",PPG US,60,D,4053000,1810000
HCP Inc.,HCP US,97,A-,28940,216887
McDonald's Corporation,MCD US,71,D,,
"TJX Companies, Inc.",TJX US,98,B,63084,686955
Emerson Electric Co.,EMR US,,,264967,
Kinder Morgan Inc.,KMI US,,,,
Starbucks Corporation,SBUX US,86,C,239972,792644
Freeport-McMoRan Copper & Gold Inc.,FCX US,86,C,5679367,3985464
Amazon.com Inc.,AMZN US,,,,
Lockheed Martin Corporation,LMT US,91,A,249491,985006
Crown Castle International Corp,CCI US,,,,
"PNC Financial Services Group, Inc.",PNC US,89,B,47606,398414
QUALCOMM Inc.,QCOM US,56,D,64782,49216
BNY Mellon,BK US,100,A,9513,208926
Texas Instruments Incorporated,TXN US,64,D,827274.44,1588465.81
Capital One Financial,COF US,71,C,14501,194433
Marathon Oil Corporation,MRO US,,,,
UPS,UPS US,99,A-,11715635,823212
"PepsiCo, Inc.",PEP US,94,B,3854784,1928490
Corning Incorporated,GLW US,54,D,383729,1129330
"Allergan, Inc.",AGN US,91,B,49128,52049
Ecolab Inc.,ECL US,98,A,336258,199296
General Motors Company,GM US,100,A-,2454755,5531380
Exelon Corporation,EXC US,98,A,26038890,5691542
"The Travelers Companies, Inc.",TRV US,63,C,35633,48175
Johnson & Johnson,JNJ US,98,A-,329556,853700
Wells Fargo & Company,WFC US,96,A,93904,1333372
Philip Morris International,PM US,97,B,441953,433892
Ventas Inc,VTR US,85,C,43381,314379
"Williams Companies, Inc.",WMB US,,,,
U.S. Bancorp,USB US,78,C,38055,370672
